"","hhid","Income","Fs3_4","Fs5.","Fam_Size","college","whtcollar","retired"
"1",2100016,32.5,0,0,2,1,0,1
"8",2100024,17.5,1,0,3,1,1,1
"19",2100495,37.5,0,0,2,0,0,1
"30",2100560,17.5,0,0,1,0,1,0
"32",2100610,87.5,0,0,1,1,1,0
"34",2100628,12.5,0,0,2,0,0,1
"35",2100685,17.5,0,0,2,1,0,0
"41",2100693,17.5,0,0,2,0,0,1
"58",2100750,27.5,0,1,5,1,1,0
"67",2100834,67.5,0,0,2,1,1,0
"72",2100875,32.5,0,1,5,0,1,0
"75",2100933,22.5,0,0,1,1,1,0
"77",2101188,7.5,0,0,1,0,0,1
"86",2101295,47.5,0,0,2,0,1,1
"96",2101303,27.5,1,0,3,1,1,0
"104",2101378,12.5,0,1,5,0,1,0
"119",2101451,55,1,0,4,0,0,0
"147",2101618,22.5,1,0,4,0,0,0
"149",2101675,17.5,0,0,2,0,0,0
"153",2101741,27.5,1,0,3,0,1,0
"156",2101758,55,1,0,4,1,1,0
"161",2101949,37.5,1,0,4,1,1,0
"173",2101956,27.5,0,0,2,1,0,1
"183",2102046,7.5,0,0,2,0,0,1
"196",2102087,7.5,0,0,2,0,1,0
"198",2102152,12.5,0,1,5,0,0,0
"204",2102186,22.5,0,0,2,0,0,1
"226",2102228,130,0,0,2,1,1,0
"231",2102251,27.5,1,0,4,0,0,0
"246",2102277,42.5,0,1,5,1,1,0
"248",2102285,12.5,0,0,1,0,0,1
"249",2102426,37.5,0,0,2,1,0,1
"252",2103200,32.5,1,0,4,0,1,0
"255",2103309,22.5,1,0,4,0,1,0
"269",2103416,17.5,1,0,3,1,1,0
"281",2103630,27.5,0,0,1,1,0,1
"287",2103697,87.5,1,0,3,0,1,0
"289",2103721,12.5,0,0,2,1,1,0
"294",2103879,7.5,0,0,1,0,0,1
"295",2103911,47.5,1,0,3,1,0,0
"304",2103978,17.5,1,0,3,0,0,0
"307",2104109,27.5,0,1,6,0,0,0
"336",2104240,17.5,0,0,2,0,0,0
"349",2104273,37.5,0,1,6,1,1,0
"368",2104406,37.5,0,1,5,0,0,0
"372",2104455,12.5,1,0,4,1,1,0
"374",2104638,17.5,0,0,2,0,1,1
"380",2104695,42.5,1,0,4,0,0,0
"393",2104919,22.5,0,0,2,0,0,0
"397",2104950,32.5,1,0,4,0,1,1
"399",2105254,22.5,0,1,5,1,1,0
"407",2105296,22.5,1,0,4,0,1,0
"412",2105486,17.5,1,0,3,1,1,0
"426",2105551,17.5,0,0,2,0,0,1
"429",2105932,17.5,1,0,4,0,1,0
"434",2106013,27.5,0,0,2,0,0,0
"436",2106195,12.5,1,0,3,0,1,0
"443",2106294,27.5,0,0,2,0,0,0
"449",2106302,27.5,1,0,3,1,1,0
"460",2106310,17.5,1,0,3,1,1,0
"474",2106369,7.5,1,0,4,0,0,0
"479",2106377,17.5,0,0,2,1,1,0
"487",2106427,7.5,0,0,1,0,0,1
"497",2106567,12.5,0,0,2,0,0,1
"503",2106799,22.5,0,1,5,0,1,0
"511",2107094,32.5,1,0,4,0,1,0
"521",2107243,22.5,1,0,3,0,0,0
"531",2107318,22.5,1,0,3,0,1,0
"540",2107391,17.5,0,1,5,1,1,0
"561",2107698,12.5,0,0,2,0,1,0
"571",2107706,32.5,1,0,3,1,1,0
"573",2107888,22.5,1,0,4,0,1,0
"577",2107953,32.5,0,0,2,0,1,1
"578",2107979,12.5,1,0,3,0,1,0
"592",2108142,42.5,1,0,4,0,0,0
"610",2108159,32.5,1,0,4,0,1,0
"632",2108209,17.5,1,0,4,0,0,0
"650",2108225,32.5,0,0,2,0,0,1
"658",2108431,12.5,0,0,1,0,0,1
"664",2108506,42.5,0,1,5,1,1,0
"674",2108522,22.5,0,1,5,0,0,0
"677",2108530,22.5,0,0,2,1,1,0
"682",2108548,17.5,0,0,2,0,1,0
"686",2108571,17.5,0,0,2,0,0,0
"692",2108621,32.5,0,0,2,0,0,1
"694",2108639,22.5,1,0,3,0,1,0
"697",2108670,32.5,1,0,4,0,1,0
"710",2108704,42.5,1,0,4,1,1,0
"712",2109033,27.5,1,0,4,0,0,0
"714",2109157,55,1,0,4,1,1,0
"721",2109199,47.5,0,0,2,0,0,1
"740",2109686,12.5,0,0,2,0,0,1
"744",2109967,7.5,1,0,3,0,0,0
"749",2109991,47.5,0,1,5,1,1,0
"766",2110023,17.5,1,0,4,0,1,1
"771",2110122,87.5,0,0,2,1,1,0
"778",2110189,27.5,1,0,3,0,1,0
"780",2110296,32.5,0,0,2,1,1,0
"782",2110593,37.5,1,0,4,0,1,0
"796",2110775,32.5,0,0,1,0,1,0
"800",2110817,22.5,0,1,5,1,1,0
"803",2110833,22.5,1,0,3,0,1,0
"828",2110965,55,1,0,3,0,1,0
"829",2111013,22.5,0,0,2,1,0,1
"850",2111104,32.5,0,1,6,0,0,0
"866",2111120,37.5,1,0,4,0,1,0
"875",2111385,17.5,1,0,3,0,1,0
"882",2111427,42.5,0,0,2,0,1,0
"886",2111492,12.5,0,0,2,0,0,1
"892",2111526,12.5,0,0,2,1,0,1
"904",2111583,22.5,0,1,5,1,1,0
"907",2111609,55,1,0,3,0,1,0
"913",2111765,32.5,1,0,4,1,1,0
"920",2111872,7.5,0,0,1,0,1,0
"921",2111922,47.5,1,0,4,0,1,0
"939",2111948,12.5,0,0,2,1,0,1
"954",2112193,37.5,1,0,3,0,0,0
"968",2112235,47.5,1,0,4,0,0,0
"982",2112243,22.5,1,0,4,1,0,0
"990",2112730,22.5,1,0,3,0,1,0
"1001",2112847,32.5,0,0,2,0,0,0
"1004",2113019,37.5,1,0,4,0,0,0
"1007",2113043,17.5,0,0,2,0,1,0
"1015",2113175,17.5,0,0,2,0,0,1
"1023",2113266,37.5,1,0,4,0,1,0
"1041",2113340,55,1,0,4,1,1,0
"1046",2113464,32.5,1,0,4,0,1,0
"1060",2113472,12.5,0,0,1,1,1,0
"1065",2113597,12.5,0,0,2,0,0,1
"1076",2113639,27.5,0,0,2,0,0,1
"1080",2113696,55,0,0,2,0,1,0
"1095",2113779,37.5,1,0,4,0,0,0
"1099",2113910,17.5,0,0,2,0,0,1
"1101",2113951,27.5,1,0,4,0,0,1
"1117",2114017,42.5,1,0,3,0,0,0
"1122",2114025,17.5,0,0,1,1,0,1
"1124",2114041,22.5,0,0,1,0,0,1
"1134",2114215,27.5,0,1,5,0,1,1
"1149",2114231,7.5,0,0,1,0,0,1
"1160",2114462,22.5,1,0,3,0,1,0
"1172",2114512,17.5,0,1,5,0,1,0
"1174",2114694,27.5,1,0,3,1,1,0
"1175",2114744,37.5,1,0,3,0,1,0
"1177",2114819,2.5,0,0,1,1,0,0
"1184",2114892,27.5,0,0,2,1,0,0
"1186",2114942,37.5,1,0,3,0,1,0
"1193",2115014,7.5,0,0,1,0,1,0
"1196",2115279,17.5,1,0,4,0,0,0
"1208",2115345,22.5,0,0,2,1,1,0
"1219",2115360,17.5,0,0,2,0,0,1
"1227",2115469,27.5,0,0,2,0,1,0
"1234",2115485,22.5,0,1,5,0,0,0
"1238",2115535,22.5,1,0,4,0,1,0
"1250",2115568,67.5,0,0,2,0,1,0
"1260",2115782,7.5,1,0,3,0,0,0
"1267",2115899,12.5,0,1,5,0,0,0
"1271",2115964,27.5,0,0,2,1,1,0
"1281",2116004,42.5,1,0,4,1,0,0
"1285",2116194,12.5,1,0,4,0,1,0
"1295",2116251,87.5,0,0,1,0,1,0
"1296",2116277,67.5,1,0,4,1,1,0
"1299",2116509,17.5,0,0,2,0,0,1
"1304",2116582,22.5,0,0,2,0,0,1
"1311",2116657,87.5,0,0,2,0,1,0
"1319",2116780,2.5,0,0,1,0,0,1
"1329",2116871,42.5,0,0,2,1,1,1
"1359",2117200,42.5,1,0,3,1,1,0
"1368",2117226,37.5,1,0,4,0,1,0
"1381",2117242,17.5,0,0,1,0,1,0
"1395",2117408,22.5,1,0,4,0,0,0
"1407",2117424,2.5,0,0,1,0,0,1
"1409",2117499,55,1,0,4,1,1,0
"1411",2117523,27.5,1,0,3,0,1,0
"1414",2117531,17.5,1,0,4,0,1,0
"1417",2117549,32.5,1,0,4,0,1,0
"1425",2117697,55,0,0,2,1,1,0
"1439",2117804,7.5,1,0,4,0,0,0
"1445",2117911,55,0,1,5,1,1,0
"1452",2118174,17.5,1,0,3,0,1,0
"1463",2118182,32.5,1,0,3,0,1,0
"1466",2118216,12.5,0,0,2,0,0,0
"1470",2118257,2.5,1,0,3,0,1,0
"1473",2118281,17.5,1,0,3,0,0,0
"1478",2118299,27.5,1,0,3,1,1,0
"1490",2118307,12.5,0,0,2,0,0,0
"1501",2118414,22.5,0,0,2,0,1,1
"1507",2118448,27.5,1,0,3,0,1,0
"1537",2118679,22.5,1,0,3,1,1,0
"1541",2118810,17.5,0,0,2,0,0,1
"1548",2119024,12.5,0,0,2,0,0,1
"1552",2119149,17.5,1,0,4,0,1,0
"1561",2119164,67.5,1,0,4,1,1,0
"1569",2119255,12.5,0,0,1,0,0,0
"1572",2119347,22.5,1,0,4,0,1,0
"1593",2119362,17.5,1,0,4,1,1,0
"1602",2119404,55,0,0,2,0,1,0
"1608",2119479,32.5,1,0,4,1,1,0
"1619",2119578,37.5,1,0,3,0,0,0
"1625",2119628,55,1,0,3,1,1,0
"1628",2119735,22.5,0,1,5,0,0,0
"1671",2119875,42.5,1,0,4,1,1,0
"1682",2119917,32.5,1,0,4,1,1,0
"1684",2120196,22.5,0,0,1,1,0,1
"1685",2120238,27.5,1,0,4,0,0,0
"1693",2120261,32.5,1,0,4,0,0,0
"1698",2120279,42.5,1,0,3,1,1,0
"1711",2120329,32.5,0,0,2,1,1,0
"1717",2120352,32.5,1,0,4,0,0,0
"1722",2120360,47.5,1,0,3,1,1,0
"1747",2120378,47.5,0,1,5,1,1,0
"1761",2120386,12.5,1,0,3,0,0,0
"1771",2120436,22.5,0,0,1,1,0,1
"1777",2120535,37.5,0,0,2,0,1,1
"1783",2120816,22.5,0,0,2,1,1,1
"1790",2120857,22.5,0,1,5,1,1,0
"1802",2120956,7.5,0,0,2,1,1,0
"1805",2120964,37.5,0,0,2,0,0,0
"1809",2121095,12.5,0,0,2,0,1,0
"1810",2121277,32.5,1,0,4,0,0,0
"1817",2121327,7.5,0,0,1,0,0,1
"1831",2121376,47.5,0,0,2,0,1,0
"1836",2121384,32.5,0,0,2,0,1,0
"1845",2121400,42.5,0,0,2,1,1,0
"1860",2121590,22.5,1,0,4,0,1,0
"1862",2121822,42.5,0,1,5,1,1,0
"1877",2121848,130,0,1,7,1,1,0
"1889",2121939,17.5,0,1,6,0,1,0
"1912",2122010,22.5,0,0,1,1,1,0
"1919",2122150,67.5,0,0,2,0,1,0
"1921",2122564,32.5,0,1,5,0,0,0
"1925",2122838,12.5,0,0,1,0,1,0
"1926",2123000,27.5,0,0,2,1,0,1
"1933",2123075,2.5,0,0,2,0,0,0
"1944",2123083,17.5,1,0,3,1,0,0
"1956",2123091,55,1,0,3,0,0,1
"1965",2123133,17.5,1,0,3,1,1,0
"1975",2123158,12.5,0,0,2,0,1,0
"1979",2123190,32.5,0,0,2,0,0,1
"1988",2123208,42.5,1,0,4,0,1,0
"1993",2123216,22.5,1,0,4,0,0,0
"1998",2123257,22.5,0,0,1,0,0,1
"2006",2123356,17.5,0,1,6,0,0,0
"2019",2123398,22.5,1,0,3,0,1,0
"2022",2123422,27.5,1,0,3,1,1,0
"2047",2123430,22.5,1,0,4,0,1,1
"2048",2123554,55,1,0,3,1,1,0
"2059",2123661,47.5,1,0,3,0,0,1
"2066",2123844,17.5,0,0,2,0,0,1
"2067",2123968,47.5,1,0,4,0,1,0
"2070",2124057,2.5,0,0,1,0,0,1
"2074",2124099,22.5,1,0,3,1,1,0
"2081",2124115,22.5,1,0,4,1,0,0
"2088",2124164,87.5,1,0,3,0,1,0
"2105",2124248,17.5,0,0,2,1,0,0
"2115",2124420,22.5,1,0,3,0,1,0
"2125",2124594,42.5,1,0,4,0,0,0
"2132",2124750,67.5,1,0,3,0,1,0
"2140",2124891,27.5,1,0,4,0,0,0
"2146",2125005,7.5,1,0,3,0,0,0
"2152",2125047,17.5,0,1,6,0,0,0
"2167",2125302,22.5,0,1,5,0,1,0
"2175",2125310,27.5,0,0,2,0,1,0
"2180",2125385,47.5,1,0,3,0,1,0
"2192",2125401,22.5,1,0,4,0,0,0
"2200",2125518,17.5,1,0,4,0,0,0
"2207",2125658,37.5,0,1,5,1,1,0
"2211",2125682,17.5,0,0,2,0,1,0
"2230",2125708,17.5,1,0,3,0,0,0
"2232",2125765,12.5,0,0,2,0,0,0
"2236",2125963,22.5,0,0,2,1,1,1
"2241",2126078,17.5,1,0,4,0,0,0
"2248",2126086,37.5,0,0,2,0,1,0
"2251",2126110,32.5,1,0,4,1,1,0
"2260",2126136,67.5,1,0,3,1,1,0
"2262",2126177,12.5,1,0,3,0,0,0
"2265",2126342,22.5,0,0,2,0,0,1
"2273",2126391,7.5,0,0,1,0,0,1
"2279",2126458,47.5,1,0,3,0,1,0
"2285",2126490,37.5,1,0,4,0,1,0
"2288",2126508,55,0,0,2,0,0,0
"2292",2126722,12.5,1,0,3,0,1,0
"2313",2126789,32.5,1,0,3,0,1,0
"2321",2126888,22.5,0,0,2,1,0,1
"2335",2127019,67.5,1,0,3,1,1,0
"2344",2127076,32.5,1,0,4,0,1,0
"2348",2127167,22.5,1,0,3,0,0,0
"2355",2127175,17.5,0,0,2,0,1,1
"2364",2127258,67.5,1,0,4,0,1,0
"2368",2127456,7.5,0,0,2,0,0,1
"2384",2127498,7.5,1,0,3,0,1,0
"2391",2127571,130,0,1,5,1,1,0
"2400",2127761,55,1,0,4,0,1,0
"2409",2127886,32.5,1,0,3,0,0,1
"2426",2127936,7.5,0,0,1,0,0,0
"2432",2128066,12.5,1,0,3,0,0,0
"2439",2128074,7.5,0,0,2,0,0,1
"2446",2128082,12.5,0,0,2,1,1,0
"2447",2128231,12.5,0,0,2,0,1,0
"2451",2128280,17.5,0,0,1,1,1,0
"2455",2128389,37.5,0,0,2,0,1,0
"2461",2128397,22.5,0,1,5,0,1,0
"2485",2128421,12.5,0,0,2,0,0,0
"2501",2128520,37.5,0,0,2,0,1,0
"2504",2128546,12.5,0,0,2,0,0,1
"2523",2128629,17.5,0,0,2,0,0,0
"2527",2128744,32.5,0,0,2,1,1,0
"2537",2128801,27.5,0,1,5,1,1,0
"2548",2128850,37.5,0,1,6,0,1,0
"2551",2128926,32.5,1,0,4,1,1,0
"2568",2129015,27.5,1,0,3,0,1,0
"2575",2129056,27.5,1,0,3,0,0,0
"2577",2129155,42.5,0,1,5,0,1,0
"2586",2129239,27.5,0,1,5,0,0,0
"2589",2129346,7.5,0,0,1,0,0,1
"2596",2129379,42.5,1,0,3,1,1,0
"2604",2129551,17.5,0,0,2,0,0,1
"2612",2129569,12.5,1,0,4,1,0,0
"2650",2129767,22.5,0,0,2,1,0,0
"2672",2129833,22.5,1,0,4,0,0,1
"2692",2130088,17.5,0,0,2,0,0,1
"2696",2130112,47.5,0,0,1,1,1,0
"2697",2130229,22.5,1,0,3,0,0,0
"2714",2130302,27.5,0,0,1,1,1,0
"2717",2130419,27.5,1,0,4,0,1,0
"2722",2130674,55,1,0,4,1,1,0
"2732",2130849,37.5,1,0,4,1,1,0
"2740",2131136,32.5,1,0,3,1,1,0
"2741",2131201,17.5,0,0,2,0,0,1
"2748",2131250,22.5,0,0,2,0,1,0
"2765",2131292,22.5,0,1,5,0,1,0
"2768",2131318,22.5,0,0,2,0,0,1
"2774",2131466,22.5,0,0,2,0,0,0
"2781",2131557,22.5,0,0,2,0,0,0
"2784",2131623,42.5,0,1,6,1,1,0
"2790",2131631,22.5,0,0,1,0,0,0
"2796",2131664,17.5,0,0,1,0,0,1
"2800",2131813,32.5,1,0,3,0,0,0
"2828",2131961,12.5,1,0,4,0,1,0
"2841",2132035,32.5,1,0,3,0,1,0
"2848",2132068,17.5,0,0,2,0,0,0
"2856",2132134,27.5,1,0,3,0,0,0
"2860",2132241,17.5,0,0,1,0,1,0
"2863",2132340,2.5,1,0,3,0,1,0
"2866",2132472,22.5,1,0,3,0,0,0
"2872",2132738,7.5,0,0,1,0,1,0
"2885",2132795,17.5,0,0,2,0,1,1
"2891",2133058,27.5,0,0,2,0,0,1
"2915",2133132,22.5,0,0,2,0,0,1
"2916",2133231,37.5,1,0,3,1,1,0
"2920",2133272,42.5,1,0,3,1,1,0
"2924",2133298,27.5,1,0,4,0,1,0
"2932",2133330,22.5,1,0,4,0,1,0
"2949",2133496,42.5,0,1,5,1,1,0
"2966",2133645,7.5,0,0,2,0,1,1
"2970",2133702,7.5,0,0,1,0,0,1
"2974",2133793,7.5,0,0,1,0,0,1
"2976",2133843,27.5,0,0,2,1,0,1
"2981",2133868,42.5,1,0,3,0,1,0
"2983",2133983,12.5,1,0,3,0,0,0
"2997",2134015,37.5,0,0,2,0,1,0
"2999",2134114,55,1,0,3,1,0,0
"3008",2134130,22.5,1,0,3,0,0,0
"3012",2134254,47.5,0,0,2,1,1,1
"3016",2134304,12.5,0,0,2,0,0,1
"3020",2134346,22.5,1,0,4,0,0,0
"3029",2134577,32.5,0,0,2,0,0,0
"3040",2134676,17.5,1,0,3,0,1,0
"3043",2134742,7.5,0,0,1,0,1,0
"3052",2134874,55,1,0,4,1,1,0
"3065",2134890,22.5,0,0,2,0,1,0
"3073",2135186,32.5,0,0,2,0,1,0
"3078",2135251,22.5,0,1,6,0,1,0
"3108",2135442,7.5,0,0,2,0,1,0
"3115",2135525,22.5,0,1,6,0,1,0
"3120",2135566,32.5,0,0,2,0,0,1
"3131",2135608,27.5,0,0,2,0,0,0
"3133",2135749,55,0,0,2,0,1,0
"3135",2135863,22.5,1,0,4,0,1,1
"3175",2135962,27.5,1,0,3,1,1,0
"3184",2135988,55,1,0,3,0,1,0
"3195",2136051,17.5,0,0,2,1,1,0
"3207",2136143,17.5,0,0,2,0,1,0
"3216",2136176,32.5,0,0,2,0,0,1
"3222",2136267,32.5,1,0,4,0,0,0
"3229",2136275,27.5,1,0,4,1,1,0
"3238",2136283,17.5,0,0,2,0,0,0
"3252",2136341,27.5,1,0,4,0,1,0
"3258",2136390,17.5,1,0,4,0,0,0
"3268",2136473,37.5,0,0,2,1,1,0
"3294",2136531,22.5,0,1,6,1,1,0
"3308",2136689,55,1,0,3,0,1,0
"3315",2136739,17.5,0,0,1,0,1,0
"3328",2136770,12.5,1,0,3,0,0,0
"3340",2136937,22.5,1,0,4,0,1,0
"3354",2136960,32.5,1,0,4,0,1,0
"3393",2137059,32.5,1,0,3,1,1,0
"3417",2137349,22.5,1,0,4,0,1,0
"3421",2137539,42.5,1,0,3,0,1,0
"3430",2137604,32.5,1,0,3,1,1,0
"3439",2137620,17.5,1,0,4,0,0,0
"3455",2137661,17.5,0,0,2,1,1,0
"3462",2137760,17.5,0,0,2,1,1,0
"3468",2137935,55,1,0,3,0,1,0
"3469",2138065,7.5,0,0,1,0,1,0
"3492",2138149,12.5,0,0,1,0,0,1
"3495",2138198,7.5,0,0,1,0,1,0
"3498",2138420,22.5,1,0,3,0,0,0
"3509",2138487,42.5,1,0,3,0,1,0
"3520",2138594,27.5,0,0,2,0,0,1
"3524",2138636,32.5,0,0,2,0,1,0
"3534",2138800,22.5,0,0,2,0,0,0
"3545",2138826,7.5,0,0,2,0,0,1
"3565",2138917,32.5,1,0,4,1,1,0
"3568",2139188,17.5,1,0,3,1,1,0
"3574",2139220,27.5,0,0,1,1,1,0
"3581",2139477,27.5,0,0,2,0,0,1
"3583",2139626,47.5,1,0,4,1,1,0
"3596",2139766,22.5,0,0,2,0,1,1
"3603",2139865,12.5,0,0,1,0,0,1
"3616",2140046,17.5,1,0,4,0,0,0
"3647",2140285,17.5,1,0,4,1,1,0
"3660",2140442,32.5,1,0,4,0,1,0
"3676",2140483,32.5,1,0,4,1,1,0
"3685",2140533,12.5,0,0,1,0,1,0
"3688",2140988,37.5,1,0,4,0,1,0
"3697",2141044,32.5,1,0,4,0,0,0
"3699",2141051,22.5,1,0,4,1,1,0
"3704",2141101,37.5,1,0,4,1,1,0
"3707",2141317,55,0,0,2,0,1,0
"3713",2141457,12.5,1,0,3,0,0,0
"3723",2141523,12.5,0,0,2,0,1,0
"3730",2141572,27.5,1,0,3,0,1,0
"3756",2141713,12.5,0,0,2,0,0,1
"3761",2141721,17.5,0,0,1,0,0,1
"3769",2141960,22.5,0,0,2,1,0,1
"3775",2141986,22.5,0,0,1,1,1,0
"3779",2142158,12.5,0,0,1,0,0,1
"3784",2142364,7.5,1,0,3,0,1,0
"3788",2142430,7.5,0,1,5,0,1,0
"3792",2142489,22.5,0,0,2,0,1,0
"3793",2142497,32.5,1,0,4,1,1,0
"3796",2142661,27.5,0,0,2,0,1,1
"3806",2142992,47.5,0,0,2,0,1,0
"3809",2143099,27.5,0,0,2,1,0,1
"3821",2143180,42.5,0,1,5,1,1,0
"3827",2143198,37.5,0,0,2,1,1,0
"3835",2143214,2.5,0,0,1,0,1,0
"3845",2143305,32.5,0,0,2,0,0,1
"3848",2143446,12.5,0,0,2,0,0,1
"3858",2143503,42.5,0,1,5,1,1,0
"3879",2143800,17.5,0,0,2,0,0,1
"3880",2143925,12.5,0,0,2,0,0,1
"3886",2144048,22.5,1,0,4,0,0,0
"3890",2144220,42.5,1,0,4,0,0,0
"3904",2144253,12.5,1,0,4,1,1,0
"3913",2144428,27.5,0,0,2,0,1,0
"3921",2144444,17.5,0,0,2,0,0,0
"3927",2144451,27.5,0,0,2,0,0,1
"3939",2144576,12.5,0,0,2,1,1,0
"3953",2144584,37.5,1,0,3,0,1,0
"3957",2144741,7.5,0,1,5,0,0,0
"3974",2144766,37.5,1,0,3,0,1,0
"3991",2145078,27.5,0,0,2,0,1,0
"3993",2145243,42.5,0,0,2,0,0,1
"4003",2145292,27.5,1,0,4,0,1,0
"4013",2145458,22.5,1,0,4,0,1,0
"4024",2145649,22.5,1,0,3,0,1,0
"4042",2145672,7.5,1,0,4,0,1,0
"4060",2145748,7.5,0,0,2,0,1,0
"4066",2145771,12.5,0,0,2,0,0,1
"4070",2145979,7.5,0,0,1,0,0,1
"4075",2145987,7.5,0,0,2,0,1,0
"4081",2146035,22.5,0,1,8,1,1,0
"4097",2146050,12.5,0,0,2,0,0,1
"4102",2146118,17.5,0,0,2,0,0,1
"4120",2146225,7.5,0,0,1,1,1,0
"4125",2146381,27.5,1,0,4,0,0,0
"4141",2146621,12.5,0,0,2,0,0,1
"4149",2146688,17.5,0,0,1,0,0,0
"4168",2147066,32.5,0,1,5,1,1,0
"4181",2147538,27.5,0,0,2,0,0,0
"4184",2147744,22.5,0,1,5,1,1,0
"4188",2147959,17.5,1,0,3,1,1,0
"4191",2147983,17.5,0,0,1,1,0,1
"4196",2148031,55,0,0,2,1,0,1
"4206",2148064,17.5,1,0,3,0,1,0
"4212",2148320,12.5,0,0,2,0,0,1
"4217",2148494,22.5,1,0,3,0,1,0
"4219",2148627,32.5,0,0,2,0,0,0
"4227",2148700,22.5,1,0,4,0,1,0
"4234",2148726,27.5,1,0,4,0,1,0
"4236",2148924,32.5,1,0,3,1,1,0
"4254",2149054,42.5,1,0,4,0,0,0
"4265",2149062,32.5,1,0,4,0,1,0
"4272",2149278,17.5,0,0,2,1,1,0
"4275",2149617,22.5,1,0,4,0,1,0
"4291",2149674,12.5,0,0,2,0,1,0
"4308",2150029,47.5,0,1,5,1,1,0
"4316",2150094,12.5,0,1,6,0,1,0
"4324",2150151,27.5,1,0,4,1,1,0
"4334",2150169,12.5,1,0,4,1,1,0
"4339",2150193,37.5,1,0,4,1,1,0
"4364",2150235,17.5,1,0,4,0,0,0
"4368",2150680,12.5,0,0,2,0,0,0
"4378",2150706,37.5,0,1,5,1,1,0
"4380",2150805,32.5,1,0,4,0,0,0
"4384",2150938,32.5,1,0,3,0,0,0
"4389",2151027,32.5,0,0,2,0,1,0
"4401",2151423,12.5,0,0,2,0,0,1
"4404",2151522,22.5,0,0,1,0,1,0
"4409",2151555,42.5,1,0,3,1,1,0
"4421",2151852,12.5,0,0,2,0,1,0
"4424",2153536,17.5,0,0,2,0,0,1
"4428",2153791,32.5,1,0,4,1,0,0
"4463",2155010,12.5,0,0,2,0,0,1
"4467",2157248,12.5,0,0,2,0,0,1
